item_id,capture_state,import_batch,source_file,source_sheet,source_row_id,composer,composer_source,conductor,conductor_source,musicians,musicians_source,title,title_source,label_raw,label_raw_source,catno_raw,catno_raw_source,year_recorded,year_recorded_source,year_released,year_released_source,format,format_source,track_listing,track_listing_source,discogs_id,discogs_id_source,ai_rating,ai_rating_source,ai_rating_confidence,ai_rating_confidence_source,ai_track_listing,ai_track_listing_source,ai_track_listing_confidence,ai_track_listing_confidence_source,ai_remarks,ai_remarks_source,ai_critical_notes,ai_critical_notes_source,ai_sources,ai_sources_source,qualifier_raw,combined_raw,split_outcome,split_reason,discogs_url,discogs_found,discogs_confidence_legacy,discogs_score_legacy,confirmed,decision_eligible
DG-0001,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,1,Howard Hanson; Charles Griffes,legacy,Charles Gerhardt,legacy,Kenneth Wilkinson (Engineer); National Philharmonic Orchestra (Orchestra); Christian Steiner (6) (Photography By); Howard Hanson; Charles Griffes; Charles Gerhardt; National Philharmonic Orchestra,discogs,"Symphony No. 2 ""Romantic"" / The Pleasure Dome of Kubla Khan / The White Peacock",legacy,RCA Gold Seal,discogs,GL25021,legacy,1967,legacy,1976,legacy,Stereo,legacy,"Symphony No.2 “Romantic”
B1 The White Peacock
B2 The Pleasure Dome of Kubla Khan",discogs,7387168,discogs,,,,,,,,,,,,,,,,RCA Gold Seal GL25021,split,already-separate-in-source,https://www.discogs.com/release/7387168,yes,Exact,128,no,no
DG-0002,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,2,Hector Berlioz; Maurice Ravel,legacy,Ernest Ansermet,legacy,D.D. Sound; Baba Yaga (3),discogs,Cafè (Short Version) / Che Gatta!,legacy,Baby Records (2),discogs,JB 15,legacy,1963,legacy,1979,legacy,Stereo,legacy,"A Cafè (Short Version)
B Che Gatta!",discogs,3268347,discogs,,,,,,,,,,,,,,,,Baby Records (2) JB 15,split,already-separate-in-source,https://www.discogs.com/release/3268347,yes,Exact,120,no,no
DG-0003,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,3,Franz Schubert; Ludwig van Beethoven,legacy,Josef Krips; Paul Kletzki,legacy,Südwestfunkorchester Baden-Baden (Orchestra); Wiener Festspielorchester (Orchestra); Franz Schubert; Ludwig van Beethoven; Wiener Festspielorchester; Josef Krips; Südwestfunkorchester Baden-Baden; Paul Kletzki,discogs,Symphony No. 8 In B Minor / Symphony No. 5 In C Minor Op. 67,legacy,Concert Hall,discogs,SMS 2341,legacy,,,1966,legacy,Stereo,legacy,"Sinfonie Nr. 8 In H-Moll (Die Unvollndete)
Sinfonie Nr. 5 In C-Moll Op.67",discogs,14535918,discogs,,,,,,,,,,,,,,,,Concert Hall SMS 2341,split,already-separate-in-source,https://www.discogs.com/release/14535918,yes,Exact,120,no,no
DG-0004,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,4,Carl Orff,legacy,Leopold Stokowski,legacy,Guy Gardner (Baritone Vocals); The Houston Chorale (Choir); The Houston Youth Symphony Boys Choir (Choir); Alfred Urbach (Chorus Master); Howard Webb (Chorus Master); Leopold Stokowski (Liner Notes); Houston Symphony Orchestra (Orchestra); Virginia Babikian (Soprano Vocals); Clyde Hager (Tenor Vocals); Carl Orff; Houston Symphony Orchestra; Leopold Stokowski,discogs,Carmina Burana,legacy,Classics For Pleasure,discogs,CFP 40311,legacy,1959,legacy,1978,legacy,Stereo,legacy,"Fortuna, Imperatrix Mundi (Fortune, Empress Of The World)
A1 O Fortuna:
A2 Fortune Plango Vulnera
I. Primo Vere (In Springtime)
A3 Veris Leta Facies:
A4 Omnia Sol Temperat
A5 Ecce Gratum
Uf Dem Anger (On The Lawn)
A6 Dance:
A7 Floret Silva;
A8 Chramer, Gip Die Varwe Mir:
A9 Reie: (Round Dance)
Swaz Hie Gat Umbe:
Chume, Chum, Geselle Min:
A10 Were Diu Werlt Alle Min
2. In Taberna (In The Tavern)
A11 Estuans Interius:
A12 Olim Lacus Colueram:
B1 Ego Sum Abbas:
B2 In Taberna Quando Sumus
3. Cours D'Amours (The Court Of Loves)
B3 Amor Volat Undique:
B4 Dies, Nox Et Omnia:
B5 Stetit Puella:
B6 Circa Mea Pectora:
B7 Si Puer Cum Puellula:
B8 Veni, Veni, Venias:
B9 In Trutina:
B10 Tempus Est Iocundum:
B11 Dulcissime:
Blanziflor Et Helena (Blanziflor And Helena)
B12 Ave Formosissima:
Fortuna, Imperatrix Mundi
B13 O Fortuna:",discogs,2759910,discogs,,,,,,,,,,,,,,,,Classics For Pleasure CFP 40311,split,already-separate-in-source,https://www.discogs.com/release/2759910,yes,Exact,146,no,no
DG-0005,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,5,Rochus Dedler,legacy,Unknown,legacy,David Puentez,discogs,I Want You,legacy,Virgin,discogs,LC-03098,legacy,,,2024,legacy,Stereo,legacy,"1 I Want You
2 I Want You (Acoustic)",discogs,31061831,discogs,,,,,,,,,,,,,,,,Virgin LC-03098,split,already-separate-in-source,https://www.discogs.com/release/31061831,yes,Label+Cat,50,no,no
DG-0006,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,6,Johannes Brahms,legacy,Unknown,legacy,Sergio Fiorentino (Piano); W. A. Chislett (Sleeve Notes); Johannes Brahms; Sergio Fiorentino,discogs,Paganini Variations & Variations & Fugue On A Theme By Handel,legacy,Summit (3),discogs,ATL 4188,legacy,1965,legacy,1965,legacy,Unknown,legacy,"Brahms Variations On A Theme Of Paganini Op. 35
A1 Band One - Theme And Variations Book 1
A2 Band Two - Variations Book 2
B Brahms Variations And Fugue On A Theme Of Handel Op. 24",discogs,14179632,discogs,,,,,,,,,,,,,,,,Summit (3) ATL 4188,split,already-separate-in-source,https://www.discogs.com/release/14179632,yes,Exact,128,no,no
DG-0007,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,7,Sergei Vasilyevich Rachmaninoff,legacy,André Previn,legacy,Kenneth Wilkinson (Engineer [Recording Engineer]); Caine Alder (Liner Notes); The London Symphony Orchestra (Orchestra); John Thomson (2) (Photography By [Cover Photograph]); Vladimir Ashkenazy (Piano); Christopher Raeburn (Producer [Recording Producer]); Ray Minshull (Producer [Recording Producer]); Sergei Vasilyevich Rachmaninoff; Vladimir Ashkenazy; The London Symphony Orchestra; André Previn,discogs,Piano Concertos Nos.1 And 2,legacy,Decca,discogs,SXL 6554,legacy,1970,legacy,1972,legacy,Stereo,legacy,"Piano Concerto No. 1 Opus 1
Piano Concerto No. 2 Opus 18",discogs,15156781,discogs,,,,,,,,,,,,,,,,Decca SXL 6554,split,already-separate-in-source,https://www.discogs.com/release/15156781,yes,Exact,128,no,no
DG-0008,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,8,Bedřich Smetana,legacy,István Kertész,legacy,G (22) (Lacquer Cut By); Israel Philharmonic Orchestra (Orchestra); Israel Philharmonic Orchestra,discogs,Bohemian Rhapsody,legacy,Decca,discogs,SPA 202,legacy,,,1972,legacy,Stereo,legacy,"The Bartered Bride
Ma Vlast - My Country
Slavonic Dances",discogs,4507204,discogs,,,,,,,,,,,,,,,,Decca SPA 202,split,already-separate-in-source,https://www.discogs.com/release/4507204,yes,Exact,120,no,no
DG-0009,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,9,Frédéric Chopin; Pyotr Ilyich Tchaikovsky,legacy,Roger Désormière,legacy,Orchestre De La Société Des Concerts Du Conservatoire (Orchestra); Houston Rogers (Photography By); Frédéric Chopin; Pyotr Ilyich Tchaikovsky; Roger Désormière; Orchestre De La Société Des Concerts Du Conservatoire,discogs,Les Sylphides / The Sleeping Beauty,legacy,Ace Of Clubs,discogs,ACL 8,legacy,,,1950,legacy,Mono,legacy,"Les Sylphides
The Sleeping Beauty - Ballet Suite",discogs,12090157,discogs,,,,,,,,,,,,,,,,Ace Of Clubs ACL 8,split,already-separate-in-source,https://www.discogs.com/release/12090157,yes,Exact,138,no,no
DG-0010,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,10,Aram Khachaturian; Sergei Prokofiev,legacy,Sir Adrian Boult,legacy,Derek Sticklen (Lacquer Cut By); London Philharmonic Orchestra (Orchestra); Mindru Katz (Piano); Burnett James (Sleeve Notes); Aram Khatchaturian; Sergei Prokofiev; Mindru Katz; Sir Adrian Boult; London Philharmonic Orchestra,discogs,"Piano Concerto In D Flat Major (1936) / Piano Concerto No. 1 In D Flat Major, Op.10",legacy,Pye Golden Guinea Records,discogs,GGC 4013,legacy,1959,legacy,1966,legacy,Mono,legacy,"Piano Concerto In D Flat Major (1936)
B2 Piano Concerto No. 1 In D Flat Major, Op. 10",discogs,5725717,discogs,,,,,,,,,,,,,,,,Pye Golden Guinea Records GGC 4013,split,already-separate-in-source,https://www.discogs.com/release/5725717,yes,Exact,128,no,no
DG-0011,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,11,Ludwig van Beethoven; Robert Schumann,legacy,Unknown,legacy,Petr Stránský (Cover); Ludmila Vrkočová (Sleeve Notes); Ludwig van Beethoven; Robert Schumann; Prague Trio,discogs,"Piano Trio In E Flat Major, Op. 1 / Piano Trio In F Major, Op. 80",legacy,Supraphon,discogs,SUA ST 50639,legacy,,,1965,legacy,Stereo,legacy,"Piano Trio In F Major, Op. 80
Piano Trio In E Flat Major, Op. 1 No. 1",discogs,11916262,discogs,,,,,,,,,,,,,,,,Supraphon SUA ST 50639,split,already-separate-in-source,https://www.discogs.com/release/11916262,yes,Exact,120,no,no
DG-0012,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,12,Sergei Prokofiev; Zoltán Kodály,legacy,Erich Leinsdorf,legacy,Philharmonia Orchestra (Orchestra); Sergei Prokofiev; Zoltán Kodály; Erich Leinsdorf; Philharmonia Orchestra; Dan Iordăchescu,discogs,Lieutenant Kijé Suite / Háry János Suite,legacy,Capitol Records,discogs,P 8508,legacy,,,1960,legacy,Mono,legacy,"Lieutenant Kijé Suite, Op. 60
Háry János Suite",discogs,8627281,discogs,,,,,,,,,,,,,,,,Capitol Records P 8508,split,already-separate-in-source,https://www.discogs.com/release/8627281,yes,Exact,138,no,no
