row_id,catno_raw,label_raw,name_raw,title_raw,year_raw,decoy_numbers
448,2535 184,Polydor,Mahler das lied von der erde,,,
449,,,,,,
450,,,,,,
451,,,,,,
452,,,,,,
453,,,,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,,,,,,
473,,,,,,
474,,,,,,
475,,,,,,
476,,,,,,
477,,,,,,
478,,,,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,GSTP-8A/S8,Readers Digest,Various,Finale Spectacular,,
486,MONO AN 133-4,His Masters Voice,Verdi; Carlo Maria Guilini; Elisabeth Schwarzkopf,Requiem,,
487,M 2316,Concert Hall,Verdi; Verdi; Vienna State Opera,Famous Overtures and Choruses,,
488,2578 008,Meliodor Kinderland,Karl Heinrich Waggerl,"Kaiserbesuch, Begegnung, Veroknika",,
489,CGLX 73717,Christophorus,Weitere Schallplatten and Karl Heinrich Waggerl,Die Kunst des Mubiggangs,,
